,img_url,caption,n_likes_1000,n_comments,age
10,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/240952268_575406953494277_7929870073171950579_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=9jJIig97VAoAX-f5ZwI&edm=AAWvnRQBAAAA&ccb=7-4&oh=ae27c65e61d11dabb3588d7863f794c0&oe=615C877D&_nc_sid=e7738c,"Smooth seas don’t make good sailors ⛵

Chrisanki Flood has been sailing the chaotic seas of the Caribbean for more than half of his life. Throughout his career, he’s not only had to navigate unpredictable weather patterns, he’s had to overcome the financial and racial barriers that come with this predominantly white sport. But when the Saint Lucia native is out at sea, he’s able to relax and live his purpose. It’s this unrelenting connection to the water, as well as the support from the tight-knit group of professional sailors on the island, that give him the discipline to keep training. 

What sport helps you connect with nature?

✍️: @jiyapinder 
📸: @nattykiii",269k,3447,4 weeks ago
11,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/e35/241055238_929877150897553_6240882342720419322_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=Oj1wIQJuYEoAX8-J7S2&edm=AAWvnRQBAAAA&ccb=7-4&oh=146f36a2796e9f45a0b883812021f9df&oe=615837DE&_nc_sid=e7738c,"“I want to prove the bar can always be raised higher.”

Through sheer grit and singular talent, @serenawilliams has transcended every obstacle in her path. From the public courts of Compton to the grandest stages of tennis, she has overcome defeat, injury, racism, sexism, and every naysayer in between. Her resilience is what makes her truly great.

Driven by an obsession to win, Serena holds a record 23 major titles and counting. She’s a legendary athlete, successful entrepreneur, and loving mother.

Serena Williams continues to write her own legacy. On her own time. On her own terms.",113k,4670,4 weeks ago
12,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/240861381_387240982749296_6148658254772100132_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=zSzFEr8_4ZwAX9yhcQT&edm=APU89FABAAAA&ccb=7-4&oh=908fef8315b2e3c7b53c8fbf3fc09e92&oe=6158C3B3&_nc_sid=86f79a,"Fear stings worse than any foil. 

@bebe_vio shows us all how to overcome with her continued bravery.

We become bolder when we Play New.",129k,5296,1 month ago
13,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/240374453_167766428741403_4547631205512574121_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=VwTb8HNJ0wsAX-X1ih0&edm=APU89FABAAAA&ccb=7-4&oh=dc00c9e9b1cf3fb9c385185eb9607659&oe=615880B1&_nc_sid=86f79a,"In this tiny village in the Swiss alps, soccer reigns supreme. Would you play on the highest pitch in Europe? Tell us in the comments!",106k,2853,1 month ago
14,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/240379817_580048139661202_5424387121527569668_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=k2NRZZ-ikK0AX8LXrs7&edm=APU89FABAAAA&ccb=7-4&oh=ff5b3e434510152d8152f039637445c3&oe=615CFCEC&_nc_sid=86f79a,"Talk about home field advantage 🏔

In a tiny village 6,200 feet high in the Swiss Alps, with one bar, one hotel, one church and a few dozen stone roofed chalets, soccer reigns supreme. With Gspon’s 500-odd residents, this alpine community is centered not around sky slopes or hiking trails, but a pitch — in fact, the highest one in Europe. At this altitude, the visiting team is often gasping for breath while the locals enjoy an unusual home advantage as the game wears on. 

⚽ Where’s your favorite place to play? Tell us in the comments!

📷: @dominicnahr 
✍️: Kieran Dahl",416k,3153,1 month ago
15,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/239964630_129140592766498_1643391336695268369_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=skrmmt0CNosAX_xaXZ1&edm=APU89FABAAAA&ccb=7-4&oh=204492d81eccaa9c436ef6ecd4e0b670&oe=61586945&_nc_sid=86f79a,"No more waiting. Let the @carririchardson_ show begin.

Sha’Carri laces up her spikes this weekend at the Prefontaine Classic in Eugene, Oregon. Throw some love for her in the comments.

🎥: @rodneyluthaking 
🎥: @mr_mosher",267k,18933,1 month ago
16,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/238562161_1254952024963201_6765473502921482260_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=gMSuLkdcKAoAX_Bdkts&edm=APU89FABAAAA&ccb=7-4&oh=e9105cc3cc35bcf6aab61744b67ca6f7&oe=615864CE&_nc_sid=86f79a,"“When I step on the court, I definitely want to stand out.”

@serenawilliams has been an innovator since day one. And while she was changing the world of tennis, she saw a need to change the world of design too. That’s why she partnered with us to create the Serena Williams Design Crew.

By championing diverse talent from all walks of life, Serena and her ten up-and-coming design teammates can be catalysts for change. Click the link in our bio to find out more about the program.",214k,4062,1 month ago
17,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/236206615_364053645121050_1923126120091606005_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=80hWlP_4qR8AX8oTmEF&edm=APU89FABAAAA&ccb=7-4&oh=457e451c6066fa53f0c859ef8320d231&oe=61588709&_nc_sid=86f79a,"“Kipchoge inspired me to be unstoppable.”

A graffiti artist in Nairobi 🎨
An avid runner in Berlin 👟
A mother of two in Las Vegas 👩👦👦

What do these people have in common? They’ve all been inspired by the world’s fastest marathoner, Eliud Kipchoge. After another historic victory, he’s pushing the definition of what it means to win by empowering others to push past their perceived limits—no matter the goal.🥇🏃🙌",182k,5568,1 month ago
18,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/234155498_1606565442884439_8737439728078321453_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=Gd_DPWHSy6wAX-YUnVN&edm=APU89FABAAAA&ccb=7-4&oh=460bfadcadb02d31f57f1bdabc348305&oe=615C2DD1&_nc_sid=86f79a,"Home is where the game is. 

Indian Gymkhana Football Club bring friendship, excitement and competitiveness to every match. But behind this energy is a purpose: paving the way for a new era of football. Established in Osterley, West London in 1916, the team has been a hub for London’s second-generation Asian community for more than a century. 

Tag your favorite squad to play with in the comments below.",306k,4261,1 month ago
19,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/p640x640/234541916_420194302700793_1702062865260704684_n.jpg?_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=cjCfcn3GzfUAX9Lzius&edm=APU89FABAAAA&ccb=7-4&oh=fe833f87e6d4cb5b5685cfdb5a353eb3&oe=615DB140&_nc_sid=86f79a,"Passing the game on to a new generation, one play at a time. 🏀
 
This court on the coast of Italy is the home of @tamtambasketball_official, a volunteer-led nonprofit offering local children from the migrant community a platform and program to hoop and grow. For this team, basketball is family, and the lifelong lessons learned here on the court are just as relevant off of it.
 
Just don’t expect any easy buckets out there. 
 
Meet the Tam Tam squad at the link in bio, and shout out your teammates in the comments below.

📹: @thibautgrevet captured before the lockdowns in 2019.",283k,3311,1 month ago
