Sr_No,Image_URL,Caption,Likes_in_1000,n_comments,Age,Labels,Anger,Joy,Surprise
10,https://instagram.flwo4-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/240952268_575406953494277_7929870073171950579_n.jpg?_nc_ht=instagram.flwo4-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=jMBBGADGNIIAX9nIdTe&edm=AAWvnRQBAAAA&ccb=7-4&oh=66b06404de7ebbae9a7524e91fa98229&oe=6162763D&_nc_sid=e7738c,"Smooth seas don’t make good sailors ⛵

Chrisanki Flood has been sailing the chaotic seas of the Caribbean for more than half of his life. Throughout his career, he’s not only had to navigate unpredictable weather patterns, he’s had to overcome the financial and racial barriers that come with this predominantly white sport. But when the Saint Lucia native is out at sea, he’s able to relax and live his purpose. It’s this unrelenting connection to the water, as well as the support from the tight-knit group of professional sailors on the island, that give him the discipline to keep training. 

What sport helps you connect with nature?

✍️: @jiyapinder 
📸: @nattykiii",269k,3455,1 month ago,"Water,Sky,Cloud,Leg,Lake,Watercraft,Boats and boating--Equipment and supplies,Outdoor recreation,Tree,Sailing",VERY_UNLIKELY,POSSIBLE,VERY_UNLIKELY
11,https://instagram.flwo4-1.fna.fbcdn.net/v/t51.2885-15/e35/241055238_929877150897553_6240882342720419322_n.jpg?_nc_ht=instagram.flwo4-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=MsW-BwkkBJYAX9AnKjk&edm=AAWvnRQBAAAA&ccb=7-4&oh=818554a951339bd6294a462f79e1f665&oe=615D7DDE&_nc_sid=e7738c,"“I want to prove the bar can always be raised higher.”

Through sheer grit and singular talent, @serenawilliams has transcended every obstacle in her path. From the public courts of Compton to the grandest stages of tennis, she has overcome defeat, injury, racism, sexism, and every naysayer in between. Her resilience is what makes her truly great.

Driven by an obsession to win, Serena holds a record 23 major titles and counting. She’s a legendary athlete, successful entrepreneur, and loving mother.

Serena Williams continues to write her own legacy. On her own time. On her own terms.",114k,4673,1 month ago,"Hair,Shoe,Human,Flash photography,Fashion,Sleeve,People in nature,Knee,Happy,Thigh",VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
12,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/240861381_387240982749296_6148658254772100132_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=EC1Qwm6mkoEAX_Zz0io&edm=APU89FABAAAA&ccb=7-4&oh=5ab0c88195ab68b2e28f002db364a036&oe=615E09B3&_nc_sid=86f79a,"Fear stings worse than any foil. 

@bebe_vio shows us all how to overcome with her continued bravery.

We become bolder when we Play New.",129k,5295,1 month ago,"Human,Tableware,Art,Publication,Fun,Snapshot,Coffee cup,Event,Poster,Design",VERY_UNLIKELY,LIKELY,VERY_UNLIKELY
13,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/240374453_167766428741403_4547631205512574121_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=103&_nc_ohc=aPtZZLHg3O4AX-51F4S&edm=APU89FABAAAA&ccb=7-4&oh=d77c30a3e136cc6a2134645d88cc09fa&oe=615DC6B1&_nc_sid=86f79a,"In this tiny village in the Swiss alps, soccer reigns supreme. Would you play on the highest pitch in Europe? Tell us in the comments!",106k,2856,1 month ago,"Cloud,Sky,Mountain,Ecoregion,Nature,Natural landscape,Building,Natural environment,Highland,Slope",None,None,None
14,https://instagram.flwo4-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/240379817_580048139661202_5424387121527569668_n.jpg?_nc_ht=instagram.flwo4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=VBYgaVgL-ZAAX-OIjXW&edm=APU89FABAAAA&ccb=7-4&oh=2adfd184bcdf674c3e374504846a51be&oe=6162EBAC&_nc_sid=86f79a,"Talk about home field advantage 🏔

In a tiny village 6,200 feet high in the Swiss Alps, with one bar, one hotel, one church and a few dozen stone roofed chalets, soccer reigns supreme. With Gspon’s 500-odd residents, this alpine community is centered not around sky slopes or hiking trails, but a pitch — in fact, the highest one in Europe. At this altitude, the visiting team is often gasping for breath while the locals enjoy an unusual home advantage as the game wears on. 

⚽ Where’s your favorite place to play? Tell us in the comments!

📷: @dominicnahr 
✍️: Kieran Dahl",416k,3156,1 month ago,"Plant,Mountain,Tree,Highland,Sky,Slope,Landscape,Player,Leisure,Grass",None,None,None
15,https://instagram.flwo4-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/239964630_129140592766498_1643391336695268369_n.jpg?_nc_ht=instagram.flwo4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=l2waMTm1zOwAX-edKUF&edm=APU89FABAAAA&ccb=7-4&oh=ce7c98a5f90f262193fd512e9799038d&oe=615DAF45&_nc_sid=86f79a,"No more waiting. Let the @carririchardson_ show begin.

Sha’Carri laces up her spikes this weekend at the Prefontaine Classic in Eugene, Oregon. Throw some love for her in the comments.

🎥: @rodneyluthaking 
🎥: @mr_mosher",267k,18933,1 month ago,"Sports uniform,Sky,Shorts,Track and field athletics,Street light,Thigh,Sportswear,Heptathlon,Middle-distance running,Athlete",VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
16,https://instagram.flwo4-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/238562161_1254952024963201_6765473502921482260_n.jpg?_nc_ht=instagram.flwo4-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=_Pgvqbm5MPYAX9cDEFC&edm=APU89FABAAAA&ccb=7-4&oh=b6f100f6f741fdda181a6a018a09276a&oe=615DAACE&_nc_sid=86f79a,"“When I step on the court, I definitely want to stand out.”

@serenawilliams has been an innovator since day one. And while she was changing the world of tennis, she saw a need to change the world of design too. That’s why she partnered with us to create the Serena Williams Design Crew.

By championing diverse talent from all walks of life, Serena and her ten up-and-coming design teammates can be catalysts for change. Click the link in our bio to find out more about the program.",215k,4060,1 month ago,"Clothing,Muscle,Purple,Human body,Entertainment,Thigh,Waist,Performing arts,Flash photography,Curtain",VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
17,https://instagram.flwo4-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/236206615_364053645121050_1923126120091606005_n.jpg?_nc_ht=instagram.flwo4-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=tKlBJ4HNgbwAX-JmDe4&edm=APU89FABAAAA&ccb=7-4&oh=57e9f4f822c62a4d8e5b66619fa0ade4&oe=615DCD09&_nc_sid=86f79a,"“Kipchoge inspired me to be unstoppable.”

A graffiti artist in Nairobi 🎨
An avid runner in Berlin 👟
A mother of two in Las Vegas 👩👦👦

What do these people have in common? They’ve all been inspired by the world’s fastest marathoner, Eliud Kipchoge. After another historic victory, he’s pushing the definition of what it means to win by empowering others to push past their perceived limits—no matter the goal.🥇🏃🙌",182k,5574,1 month ago,"Footwear,Jeans,Shoe,Social group,Community,Red,Window,Sneakers,Smile,Jacket",VERY_UNLIKELY,VERY_LIKELY,VERY_UNLIKELY
18,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/234155498_1606565442884439_8737439728078321453_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=103&_nc_ohc=YXtfoZheyRwAX-dLcQA&edm=APU89FABAAAA&ccb=7-4&oh=ce387032eac97598989f9c15d912be64&oe=61621C91&_nc_sid=86f79a,"Home is where the game is. 

Indian Gymkhana Football Club bring friendship, excitement and competitiveness to every match. But behind this energy is a purpose: paving the way for a new era of football. Established in Osterley, West London in 1916, the team has been a hub for London’s second-generation Asian community for more than a century. 

Tag your favorite squad to play with in the comments below.",306k,4263,1 month ago,"Clothing,Trousers,Smile,Shirt,Sky,Human,Cloud,Sleeve,Happy,People in nature",VERY_UNLIKELY,VERY_LIKELY,VERY_UNLIKELY
19,https://instagram.flwo4-2.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p640x640/234541916_420194302700793_1702062865260704684_n.jpg?_nc_ht=instagram.flwo4-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=cfW1LS1NIfEAX-XATD7&edm=APU89FABAAAA&ccb=7-4&oh=0139c553ab5125461458bbae09321a7f&oe=6161A5C0&_nc_sid=86f79a,"Passing the game on to a new generation, one play at a time. 🏀
 
This court on the coast of Italy is the home of @tamtambasketball_official, a volunteer-led nonprofit offering local children from the migrant community a platform and program to hoop and grow. For this team, basketball is family, and the lifelong lessons learned here on the court are just as relevant off of it.
 
Just don’t expect any easy buckets out there. 
 
Meet the Tam Tam squad at the link in bio, and shout out your teammates in the comments below.

📹: @thibautgrevet captured before the lockdowns in 2019.",283k,3309,1 month ago,"Trousers,Sky,Cloud,Recreation,Event,Sports,Entertainment,Hat,Competition event,Fun",VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
